,% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate
113,55.2,3180.86,600.464,402.598,10.113,1.73476,250.576,250.62,249.258,295.096,306.4,250.137,250.269,443.833,510.446,456.246,415.706,428.618,481.874,468.224,66.91
114,55.2,1272.66,594.971,393.516,10.1125,1.73407,250.488,249.302,249.302,295.096,306.4,247.983,248.511,453.242,502.968,451.604,441.878,427.296,433.372,412.824,66.91
115,55.2,1442.58,594.849,393.691,10.1121,1.73338,250.488,251.455,249.653,295.096,306.4,251.411,250.225,454.043,491.868,452.032,463.984,446.574,417.128,381.814,66.91
116,55.2,1612.5,594.238,398.145,10.1116,1.73269,250.093,253.125,249.302,295.096,306.4,253.784,250.84,454.844,483.262,444.478,469.764,460.896,446.702,382.034,66.91
117,55.2,2906.64,593.872,397.91,10.1111,1.732,249.961,251.543,249.741,295.096,306.4,256.113,249.038,454.043,437.608,435.848,466.794,467.616,484.45,415.47,66.91
118,55.2,3086.72,589.966,396.27,10.1107,1.73131,250.313,250.752,250.928,295.096,306.4,250.884,249.126,449.739,238.118,433.584,476.714,490.084,494.418,458.728,66.91
119,55.2,3114.06,591.675,400.195,10.1102,1.73062,250.093,250.005,251.104,295.096,306.4,245.435,251.543,440.129,323.078,432.504,473.594,492.618,494.194,490.288,66.91
120,55.2,3111.33,590.332,399.434,10.1097,1.72993,250.488,250.049,251.455,295.096,306.4,250.62,250.181,440.93,479.522,441.354,439.452,468.936,497.106,508.054,66.91
121,55.2,3137.89,591.553,391.523,10.1093,1.72924,250.532,249.434,251.675,295.096,306.4,253.213,248.511,449.438,508.18,444.266,412.81,442.826,502.818,527.038,66.91
122,55.2,3181.64,587.891,387.715,10.1088,1.72855,250.532,247.939,251.455,295.096,306.4,246.841,249.961,450.94,514.184,441.242,405.392,432.91,471.794,491.946,66.91
123,55.2,3192.58,581.299,395.684,10.1083,1.72786,250.313,248.599,250.181,295.096,306.4,247.456,251.982,453.843,515.996,452.792,418.832,429.61,435.388,428.938,66.91
124,55.2,3189.45,585.693,403.359,10.1078,1.72717,250.313,249.258,249.39,295.096,306.4,252.114,250.708,447.136,518.602,456.568,452.658,436.992,419.816,393.072,66.91
125,55.2,3178.91,589.6,397.676,10.1074,1.72648,250.356,249.961,249.126,295.096,306.4,251.104,249.521,454.744,513.052,456.676,465.702,448.996,438.078,382.364,66.91
126,55.2,3160.16,586.304,395.156,10.1069,1.72579,250.4,248.379,249.082,295.096,306.4,247.632,250.4,454.644,276.064,457.648,480.548,467.614,465.522,398.81,66.91
127,55.2,3161.72,585.938,390.527,10.1064,1.7251,250.752,245.127,249.17,295.096,306.4,252.114,251.455,443.933,323.586,454.732,492.502,489.428,490.946,425.078,66.91
128,55.2,3172.66,580.933,392.578,10.106,1.72441,250.664,249.17,249.302,295.096,306.4,251.499,250.752,448.438,371.108,454.84,480.076,486.122,499.01,465.246,66.91
129,55.2,3172.27,581.543,398.789,10.1055,1.72372,250.488,249.258,249.126,295.096,306.4,246.797,249.39,448.037,505.46,462.394,444.528,458.47,499.458,514.68,66.91
130,55.2,3152.34,578.857,410.215,10.105,1.72303,250.093,251.323,248.555,295.096,306.4,250.137,249.478,453.743,515.994,460.884,421.406,442.72,496.882,517.216,66.91
131,55.2,3165.23,561.768,407.754,10.1045,1.72234,249.302,249.346,249.478,295.096,306.4,252.202,251.016,459.949,518.712,455.38,431.092,434.238,465.746,476.5,66.91
132,55.2,3277.73,553.711,400.078,10.1041,1.72166,248.555,249.917,250.4,295.096,306.4,247.368,249.565,469.558,515.2,448.15,446.638,441.838,432.14,429.38,66.91
133,55.2,3326.56,551.636,396.035,10.1036,1.72097,248.555,250.093,251.411,295.096,306.4,249.434,247.808,473.562,507.724,454.736,464.766,452.63,423.288,404.772,66.91
134,55.2,3316.41,549.927,394.043,10.1031,1.72028,248.73,248.511,252.026,295.096,306.4,252.686,247.632,471.96,504.1,461.86,473.83,454.39,423.96,400.58,66.91
135,55.2,3309.38,555.786,397.91,10.1027,1.71917,248.335,248.379,251.895,295.096,306.4,253.345,249.214,456.345,270.97,455.38,475.468,466.288,451.518,413.822,66.91
136,55.2,3325.78,552.002,400.137,10.1022,1.7178,248.335,248.027,251.016,295.096,306.4,254.18,251.455,435.725,324.439,451.06,491.092,500.662,484.338,437.212,66.91
137,55.2,3356.25,552.002,397.793,10.1017,1.71642,248.247,250.356,249.829,295.096,306.4,251.543,250.664,433.723,377.908,445.558,479.216,496.804,497.666,465.79,66.91
138,55.2,3376.56,554.688,400.605,10.1013,1.71504,248.599,250.313,248.73,295.096,306.4,248.423,249.478,444.133,500.028,439.946,429.92,462.986,501.138,502.208,66.91
139,55.2,3410.94,557.338,403.251,10.1008,1.71367,248.448,252.686,247.914,295.096,306.4,247.506,250.143,446.65,504.426,438.347,410.211,452.824,509.81,524.089,66.91
140,55.2,3522.27,550.293,406.348,10.1003,1.71229,248.071,253.389,247.874,295.096,306.4,251.038,249.5,444.934,513.164,445.237,422.773,449.494,488.398,489.739,66.91
